parameterCategory  parameterNumber    typeOfLevel        level              stepType           name               shortName          parameterName      parameterUnits     paramId            
0                  0                  isobaricInhPa      700                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      800                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      850                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      900                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      925                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      950                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      1000               instant            Temperature        t                  Temperature        K                  130               
0                  0                  surface            0                  instant            Temperature        t                  Temperature        K                  130               
0                  2                  potentialVorticity  700                instant            Potential temperature  pt                 Potential temperature  K                  3                 
0                  2                  potentialVorticity  1500               instant            Potential temperature  pt                 Potential temperature  K                  3                 
0                  3                  isobaricInhPa      200                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      225                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      250                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      275                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      300                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      350                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      400                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      500                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      600                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      700                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      800                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      850                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      900                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      925                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      950                instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  3                  isobaricInhPa      1000               instant            Pseudo-adiabatic potential temperature  papt               Pseudo-adiabatic potential temperature or equivalent potential temperature  K                  3014              
0                  10                 surface            0                  accum              Surface latent heat flux  slhf               Latent heat net flux  W m-2              147               
0                  11                 surface            0                  accum              Surface sensible heat flux  sshf               Sensible heat net flux  W m-2              146               
0                  15                 isobaricInhPa      600                instant            Virtual potential temperature  vptmp              Virtual potential temperature  K                  3012              
0                  15                 isobaricInhPa      700                instant            Virtual potential temperature  vptmp              Virtual potential temperature  K                  3012              
0                  15                 isobaricInhPa      800                instant            Virtual potential temperature  vptmp              Virtual potential temperature  K                  3012              
0                  15                 isobaricInhPa      850                instant            Virtual potential temperature  vptmp              Virtual potential temperature  K                  3012              
0                  15                 isobaricInhPa      900                instant            Virtual potential temperature  vptmp              Virtual potential temperature  K                  3012              
0                  15                 isobaricInhPa      925                instant            Virtual potential temperature  vptmp              Virtual potential temperature  K                  3012              
0                  15                 isobaricInhPa      950                instant            Virtual potential temperature  vptmp              Virtual potential temperature  K                  3012              
0                  15                 isobaricInhPa      1000               instant            Virtual potential temperature  vptmp              Virtual potential temperature  K                  3012              
1                  1                  heightAboveGround  2                  instant            2 metre relative humidity  2r                 Relative humidity  %                  260242            
1                  1                  heightAboveGround  20                 instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  50                 instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  100                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  250                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  500                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  750                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  1000               instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  1250               instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  1500               instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  2000               instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  2500               instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  heightAboveGround  3000               instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      100                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      150                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      175                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      200                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      225                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      250                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      275                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      300                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      350                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      400                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      500                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      600                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      700                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      800                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      850                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      900                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      925                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      950                instant            Relative humidity  r                  Relative humidity  %                  157               
1                  1                  isobaricInhPa      1000               instant            Relative humidity  r                  Relative humidity  %                  157               
1                  6                  surface            0                  accum              unknown            unknown            Evaporation        kg m-2             0                 
1                  19                 surface            0                  avg                Precipitation type  ptype              Precipitation type  Code table 4.201   260015            
1                  19                 surface            0                  max                Precipitation type  ptype              Precipitation type  Code table 4.201   260015            
1                  60                 surface            0                  instant            Snow depth water equivalent  sd                 Snow depth water equivalent  kg m-2             228141            
1                  64                 surface            0                  instant            Total column integrated water vapour  tciwv              Total column integrated water vapour  kg m-2             260057            
1                  65                 surface            0                  accum              Rain precipitation rate  rprate             Rain precipitation rate  kg m-2 s-1         260058            
1                  66                 surface            0                  accum              Snow precipitation rate  sprate             Snow precipitation rate  kg m-2 s-1         260059            
1                  73                 surface            0                  accum              unknown            unknown            Hail precipitation rate  kg m-2 s-1         0                 
1                  75                 surface            0                  accum              unknown            unknown            Graupel (snow pellets) precipitation rate  kg m-2 s-1         0                 
1                  83                 heightAboveGround  20                 instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  50                 instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  100                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  250                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  500                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  750                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  1000               instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  1250               instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  1500               instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  2000               instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  2500               instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 heightAboveGround  3000               instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      100                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      150                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      175                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      200                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      225                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      250                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      275                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      300                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      350                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      400                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      500                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      600                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      700                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      800                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      850                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      900                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      925                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      950                instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  83                 isobaricInhPa      1000               instant            Specific cloud liquid water content  clwc               Specific cloud liquid water content  kg/kg              246               
1                  84                 heightAboveGround  20                 instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  50                 instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  100                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  250                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  500                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  750                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  1000               instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  1250               instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  1500               instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  2000               instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  2500               instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 heightAboveGround  3000               instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      100                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      150                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      175                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      200                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      225                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      250                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      275                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      300                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      350                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      400                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      500                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      600                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      700                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      800                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      850                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      900                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      925                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      950                instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  84                 isobaricInhPa      1000               instant            Specific cloud ice water content  ciwc               Specific cloud ice water content  kg/kg              247               
1                  85                 heightAboveGround  20                 instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  50                 instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  100                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  250                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  500                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  750                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  1000               instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  1250               instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  1500               instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  2000               instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  2500               instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 heightAboveGround  3000               instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      100                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      150                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      175                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      200                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      225                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      250                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      275                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      300                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      350                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      400                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      500                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      600                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      700                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      800                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      850                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      900                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      925                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      950                instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  85                 isobaricInhPa      1000               instant            Specific rain water content  crwc               Specific rainwater content  kg/kg              75                
1                  86                 heightAboveGround  20                 instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  50                 instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  100                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  250                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  500                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  750                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  1000               instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  1250               instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  1500               instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  2000               instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  2500               instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 heightAboveGround  3000               instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      100                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      150                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      175                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      200                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      225                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      250                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      275                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      300                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      350                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      400                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      500                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      600                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      700                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      800                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      850                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      900                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      925                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      950                instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  86                 isobaricInhPa      1000               instant            Specific snow water content  cswc               Specific snow water content  kg/kg              76                
1                  199                surface            0                  instant            unknown            unknown            199                199                0                 
1                  201                heightAboveGround  20                 instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  50                 instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  100                instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  250                instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  500                instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  750                instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  1000               instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  1250               instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  1500               instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  2000               instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  2500               instant            unknown            unknown            201                201                0                 
1                  201                heightAboveGround  3000               instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      100                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      150                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      175                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      200                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      225                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      250                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      275                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      300                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      350                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      400                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      500                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      600                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      700                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      800                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      850                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      900                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      925                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      950                instant            unknown            unknown            201                201                0                 
1                  201                isobaricInhPa      1000               instant            unknown            unknown            201                201                0                 
2                  2                  heightAboveGround  10                 instant            10 metre U wind component  10u                u-component of wind  m/s                165               
2                  2                  heightAboveGround  20                 instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  50                 instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  100                instant            100 metre U wind component  100u               u-component of wind  m/s                228246            
2                  2                  heightAboveGround  250                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  500                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  750                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  1000               instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  1250               instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  1500               instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  2000               instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  2500               instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  heightAboveGround  3000               instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      100                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      150                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      175                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      200                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      225                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      250                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      275                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      300                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      350                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      400                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      500                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      600                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      700                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      800                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      850                instant            U component of wind  u                  u-component of wind  m/s                131               
2                  2                  isobaricInhPa      900                instant            U component of wind  u                  u-component of wind  m/s                131               
